"Tender/Ref No.","Title","Agency","Procurement Category","Source","Scope Summary","Publish Date/Time","Closing Date/Time","Status","Link"
"MOESCHETQ26003844","Supply of Manpower Services - Operations Executive","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 05:20 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003844"
"MOESCHETQ26003840","ARTS AND DRAMA ENGAGEMENT PROGRAMME FOR SCHOOL COHORT AND TARGETED STUDENTS","Ministry of Education - Schools","Administration & Training ⇒ Courses","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 05:05 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003840"
"MOESCHETQ26003839","Provision of Ad-Hoc Bus Transport Services for Singapore Chinese Girls' School","Ministry of Education - Schools","Transportation ⇒ Bus Hire","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 04:50 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003839"
"NST000ETT26000058","PROVISION OF RELOCATION SERVICES FROM BIOPOLIS, BRENNER CENTRE AND FUSIONOPOLIS TO GENEO","Agency for Science, Technology and Research","Construction ⇒ Others","GeBIZ","Tender (GeBIZ listing)","14 Sep 2026 04:20 PM","08 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NST000ETT26000058"
"RPO000ETT26000023","Provision of Multi-Disciplinary Professional Consultancy Services (AR, CS, ME &QS) for 2 years with an option to extend for another 2 years","Republic Polytechnic","Services ⇒ Professional Services","GeBIZ","Tender (GeBIZ listing)","14 Sep 2026 04:20 PM","09 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=RPO000ETT26000023"
"MOE000ETQ26000212","PROVISION OF REGIONAL STUDIES PROGRAMME (RSP) CULTURAL CAMP 2026 PACKAGE","Ministry of Education","Administration & Training ⇒ Courses","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 04:20 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOE000ETQ26000212"
"LTA000ETQ26000098","Lease, Delivery, Installation and Removal of TV Display Screens","Land Transport Authority","Furniture, Office Equipment & Audio-Visual ⇒ AV Equipment, Photographic Equipment & Accessories","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 04:20 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=LTA000ETQ26000098"
"HDB000ETT26000162","Supply of 20mm Aggregate to the HDB (Batch 100)","Housing and Development Board","Construction ⇒ Others","GeBIZ","Tender (GeBIZ listing)","14 Sep 2026 03:50 PM","09 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=HDB000ETT26000162"
"MOESCHETQ26003837","Supply of Instructor for Lion and Dragon Dance CCA Training Programme for Chung Cheng High School (Main) from 01 Jan 2027 to 31 Dec 2029","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 03:50 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003837"
"INDMGSETQ26000008","SUPPLY OF INSTRUCTORS FOR SWIMMING PHYSICAL EDUCATION PROGRAMME TO METHODIST GIRLS' SCHOOL (SECONDARY)","Methodist Girls' School (Secondary)","Administration & Training ⇒ Courses","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 03:20 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=INDMGSETQ26000008"
"NST000ETT26000057","Supply, Delivery, Installation, Test and Commission of 22 units of Floor Standing, Standalone, Top-Loading Steam Sterilizers (Autoclaves) and 23 units","Agency for Science, Technology and Research","Dental, Medical & Laboratory ⇒ Laboratory Equipment & Supplies","GeBIZ","Tender (GeBIZ listing)","14 Sep 2026 03:05 PM","09 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NST000ETT26000057"
"MPA000ETT26000025","Appointment of A Contractor for Singapore Maritime Guided Tours for A Period of Three Years with the Option to Extend for Another Two Years","Maritime and Port Authority of Singapore","Services ⇒ Professional Services","GeBIZ","Tender (GeBIZ listing)","14 Sep 2026 03:05 PM","05 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MPA000ETT26000025"
"STB000ETT26000028","Invitation to Tender for the Provision of Internal Audit Services for the Management of Partnerships","Singapore Tourism Board","Services ⇒ Professional Services","GeBIZ","Tender (GeBIZ listing)","14 Sep 2026 02:50 PM","28 Sep 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=STB000ETT26000028"
"ITE000ETQ26000110","W26a-00663_LT2 - Purchase of Brake Roller and Side Slip Tester","Institute of Technical Education","Workshop Equipment and Services ⇒ Workshop Machinery, DIY Machinery & Supplies","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 02:50 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=ITE000ETQ26000110"
"MOESCHETQ26003829","Supply of Instructors for Basketball CCA Training Programme (the ""Programme"") in Changkat Primary School for Base Period and Option Period.","Ministry of Education - Schools","Administration & Training ⇒ Courses","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 02:50 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003829"
"SSC000ETQ26000025","PROVISION OF CONSULTANCY SERVICES FOR COMPREHENSIVE CCTV INFRASTRUCTURE ASSESSMENT ACROSS ACTIVESG FACILITIES","Singapore Sports Council (Sport Singapore)","Services ⇒ Professional Services","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 02:35 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=SSC000ETQ26000025"
"MOESCHETQ26003825","Supply of Instructor for Malay Dance CCA Training Programme at Queenstown Secondary School in 2027, with Option Year in 2028.","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 02:35 PM","25 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003825"
"HDB000ETT26000161","Demolition Works for Project B (Batch 32)","Housing and Development Board","Construction ⇒ Demolition","GeBIZ","Tender (GeBIZ listing)","14 Sep 2026 02:20 PM","05 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=HDB000ETT26000161"
"MOESCHETQ26003826","Supply of Instructor for Track and Field CCA Training Programme in Bendemeer Primary School","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 02:05 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003826"
"SPO000ETQ26000117","SPO-REQ-2026-006206-CLS-To quote for bi-annual preventive maintenance contract service for 114 units of Topcon equipment","Singapore Polytechnic","Workshop Equipment and Services ⇒ Workshop Tools Maintenance","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 02:05 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=SPO000ETQ26000117"
"TRAHQ0ETT26000005","Procurement of Consultancy Services to Conduct a Study on the Effectiveness and Impact of the Energy Efficiency Grant (EEG) [EDD]","Ministry of Trade & Industry-Ministry Headquarter","Services ⇒ Professional Services","GeBIZ","Tender (GeBIZ listing)","14 Sep 2026 01:35 PM","08 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=TRAHQ0ETT26000005"
"MOESCHETQ26003812","CORNER PLUS RE-DESIGN OF LIBRARY MAIN HALL for Northbrooks Sec Sch","Ministry of Education - Schools","Furniture, Office Equipment & Audio-Visual ⇒ Copiers","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 12:50 PM","05 Oct 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003812"
"MOESCHETQ26003813","Conceptualisation, Design, Production and Delivery of 2027 School 80th Anniversary Bilingual Special Publication","Ministry of Education - Schools","Administration & Training ⇒ Publications & Periodicals","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 12:35 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003813"
"MOESCHETQ26003828","Provision of Ad-Hoc Bus Transport Services for Bedok South Secondary School in 2027","Ministry of Education - Schools","Transportation ⇒ Bus Hire","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 12:20 PM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003828"
"PUB000ETQ26000075","44260143/WQD/Supply and Delivery of Metagenomics and Amplicon Sequencing Services, DNA Extraction Kits and Inoculating Loops for PUB WQD","Public Utilities Board","Dental, Medical & Laboratory ⇒ Laboratory Equipment & Supplies","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 12:20 PM","24 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=PUB000ETQ26000075"
"MOE000ETT26000050","WHOLE-OF-GOVERNMENT DEMAND AGGREGATION CONTRACT FOR SUPPLY AND DELIVERY OF FURNITURE FOR TWO FIRM YEARS WITH OPTION TO EXTEND FOR TWO YEARS","Ministry of Education","Furniture, Office Equipment & Audio-Visual ⇒ Furniture","GeBIZ","Tender (GeBIZ listing)","14 Sep 2026 11:50 AM","08 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOE000ETT26000050"
"MHASPF03000029367","SUPPLY OF MATTE GOLD-PLATED PEWTER PLATES.","Ministry of Home Affairs - Singapore Police Force 1","Miscellaneous ⇒ Others","GeBIZ","","14 Sep 2026 11:50 AM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MHASPF03000029367"
"MOESCHETQ26003822","Provision of AD-HOC Bus Transport Services for Canberra Secondary School Year 01 January 2027 to 31 December 2027","Ministry of Education - Schools","Transportation ⇒ Bus Hire","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 11:50 AM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003822"
"MOESCHETQ26003820","In-House Printing Services 1st January 2027 to 31 December 2027","Ministry of Education - Schools","Administration & Training ⇒ Printing Services","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 11:50 AM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003820"
"MOESCHETQ26003823","GAN ENG SENG SCHOOL: PROCUREMENT ON DESIGN, SUPPLY AND INSTALLATION OF SHELTERED VERTICAL HYDROPONICS SYSTEM WITH TRAINING, MAINTENANCE AND SUPPLIES.","Ministry of Education - Schools","Construction ⇒ Renovation Supplies & Services","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 10:50 AM","05 Oct 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003823"
"MOE000ETQ26000220","Conduct a Learning Journey for All Staff of Ministry of Education Language Centre (2026)","Ministry of Education","Transportation ⇒ Ticketing, Travel Services, Tours & Excursions","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 10:50 AM","28 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOE000ETQ26000220"
"TPO000ETQ26000112","TPO-REQ-2026-005773-SH-Invitation to Quote for Supply and Installation of Bird Netting and Invisible Grille at Temasek Polytechnic Canteens","Temasek Polytechnic","Construction ⇒ Others","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 10:50 AM","25 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=TPO000ETQ26000112"
"MOESCHETQ26003773","GAN ENG SENG SCHOOL: PROCUREMENT OF ADHOC BUS TRANSPORT SERVICES FOR SCHOOL PROGRAMMES IN 2027","Ministry of Education - Schools","Transportation ⇒ Bus Hire","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 10:50 AM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003773"
"MOESCHETQ26003818","Design, Delivery and Supply of Instructors for Applied Learning Module (ApLM)@Schools (Media & Design) in Sembawang Secondary School","Ministry of Education - Schools","Administration & Training ⇒ Courses","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 10:20 AM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003818"
"MOESCHETQ26003809","Shuqun Primary School invites vendor for supply of instructor for Contemporary Dance Training Programme for 2027 with option to extend to 2028","Ministry of Education - Schools","Services ⇒ Professional Services","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 09:50 AM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003809"
"NEA000ETT26000088","Supply, Delivery, Installation and Maintenance of Air and Water Quality Monitoring Equipment","National Environment Agency","Miscellaneous ⇒ Others","GeBIZ","Tender (GeBIZ listing)","14 Sep 2026 09:35 AM","09 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NEA000ETT26000088"
"MOESCHETQ26003819","INVITATION TO QUOTE (""ITQ"") FOR SUPPLY OF MANPOWER SERVICES - RECEPTIONIST CUM ADMINISTRATIVE ASSISTANT FOR 2027 WITH OPTION TO RENEW FOR 2028","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 09:35 AM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003819"
"MOESCHETQ26003727","Supply of 2 instructors for String Ensemble CCA for base year 2027 & option year 2028","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 09:35 AM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003727"
"ITE000ETQ26000108","(R) E26a-00664_HS2_ITQ Nursing Consumables and Equipment 2026","Institute of Technical Education","Dental, Medical & Laboratory ⇒ Laboratory Equipment & Supplies","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 09:20 AM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=ITE000ETQ26000108"
"MOESCHETQ26003724","Supply of 2 instructors for Modern Dance CCA for base year 2027 & option year 2028","Ministry of Education - Schools","Services ⇒ Data Entry, Supply of Manpower Services","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 09:20 AM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003724"
"NLB000ETT26000030","INVITATION TO TENDER FOR DESIGN AND BUILD OF INTERACTIVE MULTIMEDIA EXPERIENCES","National Library Board","Services ⇒ Professional Services","GeBIZ","Tender (GeBIZ listing)","14 Sep 2026 12:05 AM","12 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NLB000ETT26000030"
"DEFNGPP7126101625","Supply of Ship Spares","Ministry of Defence 6","Miscellaneous ⇒ Others","GeBIZ","","14 Sep 2026 12:05 AM","05 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=DEFNGPP7126101625"
"NYP000ETQ26000150","Renewal of a Two-Years Subscription for Deep Freeze Cloud Ultimate (500 licenses) with Support Services","Nanyang Polytechnic","IT&Telecommunication ⇒ Softwares & Licences","GeBIZ","Quotation (GeBIZ listing)","14 Sep 2026 12:05 AM","23 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NYP000ETQ26000150"
"DST000ETQ26000064","PURCHASE OF IT HARDWARE FOR SOFTWARE DEVELOPMENT","Defence Science and Technology Agency","IT&Telecommunication ⇒ Notebooks","GeBIZ","Quotation (GeBIZ listing)","11 Sep 2026 05:50 PM","24 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=DST000ETQ26000064"
"NPB000ETT26000102","PROVISION OF MAINTENANCE AND SUPPORT SERVICES FOR NATIONAL PARKS BOARD (NPARKS) APPLICATIONS FOR FIVE (5) YEARS","National Parks Board","IT&Telecommunication ⇒ IT Services & Software Development","GeBIZ","Tender (GeBIZ listing)","11 Sep 2026 05:05 PM","06 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NPB000ETT26000102"
"IMD000ETT26000015","Provision of testing services to validate local operators' implementations of voice call services","Info-communications Media Development Authority","IT&Telecommunication ⇒ Others","GeBIZ","Tender (GeBIZ listing)","11 Sep 2026 05:05 PM","06 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=IMD000ETT26000015"
"SDC000ETQ26000043","ITQ - Sentosa Wifi Location Analytics Renewal","Sentosa Development Corporation","IT&Telecommunication ⇒ Others","GeBIZ","Quotation (GeBIZ listing)","11 Sep 2026 05:05 PM","21 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=SDC000ETQ26000043"
"HLTHQ0ETT26000037","ITT For NSC Works for Design, Supply and Installation of Pneumatic Tube System for the Proposed Development of Tengah General and Community Hospital","Ministry of Health-Ministry Headquarter","Construction ⇒ Others","GeBIZ","Tender (GeBIZ listing)","11 Sep 2026 04:20 PM","12 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=HLTHQ0ETT26000037"
"TPO000ETQ26000111","TPO-REQ-2026-006322-AK - ITQ for Design for Safety Professional Services for the Proposed A&A to Existing Building Blk 10, 11 & 13, ENG","Temasek Polytechnic","Construction ⇒ General Building & Minor Construction Works","GeBIZ","Quotation (GeBIZ listing)","11 Sep 2026 04:20 PM","21 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=TPO000ETQ26000111"
"MOESCHETQ26003787","Vibe Coding Workshops for Sec 1","Ministry of Education - Schools","Administration & Training ⇒ Courses","GeBIZ","Quotation (GeBIZ listing)","11 Sep 2026 04:05 PM","21 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003787"
